,tweet_id,name,screen_name,retweet_count,text,mined_at,created_at,favourite_count,hashtags,status_count,location,source_device,retweet_text,quote_text,quote_screen_name
0,1244314434581016576,World Health Organization (WHO),WHO,743,"FACT: Being able to hold your breath for 10 seconds or more without coughing or feeling discomfort DOES NOT mean you are free from the #coronavirus disease or any other lung disease.

👉🏽https://t.co/TdKoGmWrIr 

#COVID19 #KnowTheFacts https://t.co/0Sd7yUqwts",2020-03-29 19:11:20.492748,2020-03-29 17:24:14.000000,1184,"[{'text': 'coronavirus', 'indices': [135, 147]}, {'text': 'COVID19', 'indices': [212, 220]}, {'text': 'KnowTheFacts', 'indices': [221, 234]}]",49323,,Twitter Web App,None,None,None
3,1244258441880797184,World Health Organization (WHO),WHO,1036,"Watch this short animation to learn more about #COVID19, how it spreads and how to protect yourself against it. #coronavirus https://t.co/FdfJCiTLry",2020-03-29 19:11:20.492770,2020-03-29 13:41:44.000000,1397,"[{'text': 'COVID19', 'indices': [47, 55]}, {'text': 'coronavirus', 'indices': [112, 124]}]",49323,,Twitter Web App,None,None,None
4,1244251449439256576,World Health Organization (WHO),WHO,111,"New free #OpenWHO online course:
Learn how to set up &amp; operate severe acute respiratory infection treatment centres, including for #COVID19:
- Designing a screening area &amp; treatment centre
- Repurposing an existing building

Enroll today: https://t.co/6yHkTEuPyN
#coronavirus https://t.co/5tLd9tFYlv",2020-03-29 19:11:20.492774,2020-03-29 13:13:57.000000,223,"[{'text': 'OpenWHO', 'indices': [9, 17]}, {'text': 'COVID19', 'indices': [135, 143]}, {'text': 'coronavirus', 'indices': [271, 283]}]",49323,,Twitter Web App,None,None,None
24,1243972193169616898,World Health Organization (WHO),WHO,32420,"FACT: #COVID19 is NOT airborne. 

The #coronavirus is mainly transmitted through droplets generated when an infected person coughs, sneezes or speaks.

To protect yourself:
-keep 1m distance from others
-disinfect surfaces frequently
-wash/rub your 👐
-avoid touching your 👀👃👄 https://t.co/fpkcpHAJx7",2020-03-29 19:11:20.492835,2020-03-28 18:44:17.000000,34393,"[{'text': 'COVID19', 'indices': [6, 14]}, {'text': 'coronavirus', 'indices': [38, 50]}]",49323,,Twitter Web App,None,None,None
25,1243964762964348928,World Health Organization (WHO),WHO,153,"To assist @UN country teams in scaling up country preparedness &amp; response to #COVID19, #OpenWHO has developed a free online course:
👉 https://t.co/z50wDR5gfY

Join today &amp; learn about the Operational Planning Guidelines to Support Country Preparedness &amp; Response 

#coronavirus https://t.co/S4Umy73OZi",2020-03-29 19:11:20.492838,2020-03-28 18:14:45.000000,318,"[{'text': 'COVID19', 'indices': [81, 89]}, {'text': 'OpenWHO', 'indices': [91, 99]}, {'text': 'coronavirus', 'indices': [277, 289]}]",49323,,Twitter Web App,None,None,None
26,1243934079088812032,World Health Organization (WHO),WHO,365,"Clinicians: join the free #OpenWHO online course on clinical management of patients with a severe acute respiratory infection, incl. #COVID19 - covering many crucial areas:
• Symptoms
• Triage
• Diagnostics
• Ventilation
• &amp; much more

👉 https://t.co/20Mpvt1Nqk
#coronavirus https://t.co/Zamqmf3zsv",2020-03-29 19:11:20.492841,2020-03-28 16:12:50.000000,687,"[{'text': 'OpenWHO', 'indices': [26, 34]}, {'text': 'COVID19', 'indices': [133, 141]}, {'text': 'coronavirus', 'indices': [266, 278]}]",49323,,Twitter Web App,None,None,None
27,1243903056246444032,World Health Organization (WHO),WHO,211,"#Healthworkers &amp; public health professionals: Join the free online course on ‘Infection Prevention and Control for #coronavirus’.

Learn how to:
• Prepare
• Identify #COVID19 cases
• Prevent further transmission

👉 https://t.co/1A1L5uHXXx https://t.co/tYpSw4NZ2N",2020-03-29 19:11:20.492847,2020-03-28 14:09:33.000000,441,"[{'text': 'Healthworkers', 'indices': [0, 14]}, {'text': 'coronavirus', 'indices': [119, 131]}, {'text': 'COVID19', 'indices': [170, 178]}]",49323,,Twitter Web App,None,None,None
29,1243870528139595777,World Health Organization (WHO),WHO,2064,"Thank you to everyone working so hard to #StaySafe. 

It's a tough time, but together we'll pull through. ❤

#COVID19",2020-03-29 19:11:20.492854,2020-03-28 12:00:18.000000,7028,"[{'text': 'StaySafe', 'indices': [41, 50]}, {'text': 'COVID19', 'indices': [109, 117]}]",49323,,Twitter for Android,None,None,None
31,1243839543654133760,World Health Organization (WHO),WHO,203,"Join our free online course on protection against Acute Respiratory Infections like #COVID19. Learn how they are transmitted &amp; how to protect yourself.

Enroll today – it’s free for all:
👉https://t.co/8Rict8hNQo
#coronavirus https://t.co/H0Uqk8VBUa",2020-03-29 19:11:20.492859,2020-03-28 09:57:11.000000,386,"[{'text': 'COVID19', 'indices': [84, 92]}, {'text': 'coronavirus', 'indices': [216, 228]}]",49323,,Twitter Web App,None,None,None
32,1243816259948621824,World Health Organization (WHO),WHO,275,"Prepare for #COVID19: take the free multilingual online introduction course to #coronavirus. Learn about emerging respiratory viruses, how to detect them &amp; how to communicate risk.

Enroll today – it’s free for all:
👉 https://t.co/xsz4VxRix3 https://t.co/7bY9T39occ",2020-03-29 19:11:20.492863,2020-03-28 08:24:40.000000,535,"[{'text': 'COVID19', 'indices': [12, 20]}, {'text': 'coronavirus', 'indices': [79, 91]}]",49323,,Twitter Web App,None,None,None
